group,cell,seeds,netem,loss%,adapt,fec_group,retx_ms,pli_ms,rendered,rendered_min,rendered_max,render_ratio,resyncs,真丢包,真丢包率,注入丢包,注入率,nack_recovered,nack_gaveup,fec_recovered,fec_unrecoverable,pli_sent,pli_suppressed,encoded_bytes,fec/encoded,上线包数,p50,p95,p99,max,水位,水位峰值,下限,下限来源,帧周期,RTT,RTT样本,采样但丢弃
g3,j10_5_fixed,3,delay 10ms 5ms,0,0,4,200,1000,1000,1000,1000,1.0000,0,0,0.0000,0,0.0000,0,0,494.3,1188.7,0,0,8740108,0.3081,9991,59.7,60,62,70,50,50,5,min,33,0,0,0
g3,j10_5_adapt,3,delay 10ms 5ms,0,1,4,200,1000,1000,1000,1000,1.0000,0,0,0.0000,0,0.0000,0,0,503.7,1186.7,0,0,8740108,0.3081,9991,19,56.7,63.3,70.7,5,50,5,min,33,0,0,0
g3,j20_10_fixed,3,delay 20ms 10ms,0,0,4,200,1000,1000,1000,1000,1.0000,0,0,0.0000,0,0.0000,0,0,497.3,1218,0,0,8740108,0.3081,9991,67,69.7,70.7,85.3,50,50,5,min,33,0,0,0
g3,j20_10_adapt,3,delay 20ms 10ms,0,1,4,200,1000,1000,1000,1000,1.0000,0,0,0.0000,0,0.0000,0,0,494.7,1187.7,0,0,8740108,0.3081,9991,34,64,72.3,84,9.3,50,5,min,33,0,0,0
g3,j30_15_fixed,3,delay 30ms 15ms,0,0,4,200,1000,1000,1000,1000,1.0000,0,0,0.0000,0,0.0000,0,0,494.3,1188.3,0,0,8740108,0.3081,9991,75.3,79,79.7,96.7,50,50,5,min,33,0,0,0
g3,j30_15_adapt,3,delay 30ms 15ms,0,1,4,200,1000,1000,1000,1000,1.0000,0,0,0.0000,0,0.0000,0,0,493.3,1206.7,0,0,8740108,0.3081,9991,48.7,75,83.7,99,14,50,5,min,33,0,0,0
g3,clean_fixed,3,,0,0,4,200,1000,1000,1000,1000,1.0000,0,0,0.0000,0,0.0000,0,0,0,0,0,0,8740108,0.3081,9991,53,53,53.7,57.7,50,50,5,min,33,0,0,0
g3,clean_adapt,3,,0,1,4,200,1000,1000,1000,1000,1.0000,0,0,0.0000,0,0.0000,0,0,0,0,0,0,8740108,0.3081,9991,8,45.7,53,56.3,5,50,5,min,33,0,0,0
g4,rtt10,3,delay 5ms,10,1,4,200,1000,990.3,986,998,0.9903,0,0,0.0000,1036.3,0.1010,266.3,0,553,99.7,0,0,8740108,0.3081,10257,53,54.3,58.7,86.7,45.7,50,44,budget,33,11,266.3,1.7
g4,rtt30,3,delay 15ms,10,1,4,200,1000,999,998,1000,0.9990,0,0,0.0000,1036.3,0.1010,264,0,555,95,0,0,8740108,0.3081,10257,83,84,84.7,117,65.3,66,64,budget,33,31,264,1
g4,rtt50,3,delay 25ms,10,1,4,200,1000,992.7,982,998,0.9927,0,4,0.0004,1037.3,0.0984,264.3,3.7,552,92,0.3,0,8744712,0.3071,10538,113.7,135,145,167.7,86,117.3,84,budget,33,51,268,2.3
